ruta,punto_idx,distancia_km,lat,lon,elevacion_m
Prototipo Trayectoria,0,0.0,-33.642615783,-71.598920187,7.517
Prototipo Trayectoria,1,2.0,-33.645720786,-71.577640064,13.881
Prototipo Trayectoria,2,4.499,-33.650506791,-71.551259281,81.622
Prototipo Trayectoria,3,6.823,-33.655025186,-71.526747216,152.328
Prototipo Trayectoria,4,9.164,-33.660922883,-71.502461766,264.167
Prototipo Trayectoria,5,11.457,-33.665069697,-71.478198354,224.421
Prototipo Trayectoria,6,13.761,-33.668766634,-71.453700725,248.294
Prototipo Trayectoria,7,15.891,-33.673374892,-71.431355231,325.739
Prototipo Trayectoria,8,18.019,-33.675790004,-71.408545938,238.661
Prototipo Trayectoria,9,20.43,-33.678779459,-71.382737787,198.25
Prototipo Trayectoria,10,23.125,-33.682877861,-71.354037558,94.193
Prototipo Trayectoria,11,25.59,-33.686485483,-71.327750759,143.131
Prototipo Trayectoria,12,28.2,-33.689293092,-71.299736493,149.53
Prototipo Trayectoria,13,29.967,-33.688784704,-71.280652466,175.276
Prototipo Trayectoria,14,32.221,-33.687989379,-71.25630997,202.284
Prototipo Trayectoria,15,34.52,-33.685961743,-71.231583938,167.0
Prototipo Trayectoria,16,37.514,-33.682708023,-71.199462744,171.185
Prototipo Trayectoria,17,40.631,-33.679749529,-71.165958239,181.45
Prototipo Trayectoria,18,43.737,-33.682244713,-71.132531362,196.149
Prototipo Trayectoria,19,46.525,-33.680781251,-71.102450302,212.179
Prototipo Trayectoria,20,49.258,-33.679230212,-71.072969119,234.997
Prototipo Trayectoria,21,52.697,-33.678170047,-71.035829709,258.58
Prototipo Trayectoria,22,55.725,-33.676431113,-71.003171244,279.201
Prototipo Trayectoria,23,59.07,-33.674018836,-70.967139709,305.077
Prototipo Trayectoria,24,62.626,-33.672642012,-70.928748566,332.483
Prototipo Trayectoria,25,65.094,-33.674005773,-70.90212162,353.732
Prototipo Trayectoria,26,67.623,-33.675386905,-70.874843233,372.736
Prototipo Trayectoria,27,70.265,-33.674923899,-70.846298975,396.833
Prototipo Trayectoria,28,73.281,-33.67472941,-70.813713761,764.235
Prototipo Trayectoria,29,76.721,-33.676289056,-70.776581564,488.196
Prototipo Trayectoria,30,79.64,-33.676322416,-70.745038568,514.239
Prototipo Trayectoria,31,83.312,-33.674933559,-70.705392361,532.0
Prototipo Trayectoria,32,86.995,-33.675362168,-70.665587193,627.475
Prototipo Trayectoria,33,89.867,-33.67594789,-70.634567903,651.0
Prototipo Trayectoria,34,92.613,-33.677879546,-70.60498197,647.593
Prototipo Trayectoria,35,95.313,-33.677585018,-70.575803589,663.38
Prototipo Trayectoria,36,98.245,-33.675715034,-70.544199368,685.832
Prototipo Trayectoria,37,101.522,-33.674588915,-70.5088122,1054.752
Prototipo Trayectoria,38,104.08,-33.673176485,-70.481217702,1793.966
Prototipo Trayectoria,39,106.781,-33.672565543,-70.452036901,2194.126
Prototipo Trayectoria,40,109.639,-33.673991899,-70.421205763,2155.877
Prototipo Trayectoria,41,111.861,-33.672372202,-70.39726878,1435.768
Prototipo Trayectoria,42,114.713,-33.67101389,-70.366495277,1540.631
Prototipo Trayectoria,43,117.259,-33.671039277,-70.338985965,1445.071
Prototipo Trayectoria,44,119.839,-33.671665031,-70.311106814,2186.048
Prototipo Trayectoria,45,123.058,-33.671865327,-70.27632783,2436.977
Prototipo Trayectoria,46,125.887,-33.673782617,-70.245840036,2711.581
Prototipo Trayectoria,47,128.581,-33.673971031,-70.216734372,3316.75
Prototipo Trayectoria,48,131.024,-33.673205293,-70.190345355,3111.108
Prototipo Trayectoria,49,133.655,-33.670156687,-70.162147643,3193.77
Prototipo Trayectoria,50,136.319,-33.669296751,-70.133379516,2482.0
Prototipo Trayectoria,51,138.919,-33.668436975,-70.105303787,2799.305
Prototipo Trayectoria,52,141.433,-33.669919811,-70.078204215,2857.394
Prototipo Trayectoria,53,144.104,-33.669398175,-70.049345768,3947.279
Prototipo Trayectoria,54,146.057,-33.66859754,-70.02826296,4210.194
Prototipo Trayectoria,55,148.121,-33.669057499,-70.005968517,4109.167
Prototipo Trayectoria,56,150.382,-33.669196128,-69.981532574,4063.696
Prototipo Trayectoria,57,152.718,-33.67026217,-69.956325687,3338.55
Prototipo Trayectoria,58,155.996,-33.669942141,-69.920908445,3297.294
Prototipo Trayectoria,59,158.287,-33.669701148,-69.896146945,4279.956
Prototipo Trayectoria,60,160.696,-33.668823837,-69.870135577,4214.758
